e_number;Samples_name;Sample_or_Control;Sample_type;Sampling_time;Cross_conditions;Washing;Medium
e4048516033;GEM004;True sample;Gemmule;04. T0;G+EM;G+EM;NA
e4048518436;GEM001;True sample;Gemmule;04. T0;G+EM;G+EM;NA
e4048518439;GEM037;True sample;Cultivated sponge;05. T1;G-EM_F+PB;G-EM;F+PB
e4048518440;GEM049;True sample;Cultivated sponge;06. T2;G-EM_F-PB;G-EM;F-PB
e4048518442;GEM073;True sample;Cultivated sponge;07. T3;G+EM_F+PB;G+EM;F+PB
e4048518443;GEM085;True sample;Cultivated sponge;08. T4;G+EM_F-PB;G+EM;F-PB
e4048518448;GEM002;True sample;Gemmule;04. T0;G+EM;G+EM;NA
e4048518449;GEM014;True sample;Cultivated sponge;05. T1;G+EM_F-PB;G+EM;F-PB
e4048518450;GEM026;True sample;Cultivated sponge;05. T1;G-EM_F-PB;G-EM;F-PB
e4048518451;GEM038;True sample;Cultivated sponge;05. T1;G-EM_F+PB;G-EM;F+PB
e4048518452;GEM050;True sample;Cultivated sponge;06. T2;G-EM_F-PB;G-EM;F-PB
e4048518453;GEM062;True sample;Cultivated sponge;06. T2;G-EM_F+PB;G-EM;F+PB
e4048518454;GEM074;True sample;Cultivated sponge;07. T3;G+EM_F+PB;G+EM;F+PB
e4048518455;GEM086;True sample;Cultivated sponge;08. T4;G+EM_F-PB;G+EM;F-PB
e4048518456;GEM098;True sample;Cultivated sponge;08. T4;G+EM_F+PB;G+EM;F+PB
e4048518457;GEM110;True sample;Cultivated sponge;09. T5;G+EM_F-PB;G+EM;F-PB
e4048518458;GEM122;True sample;Cultivated sponge;09. T5;G+EM_F+PB;G+EM;F+PB
e4048518459;GEM134;True sample;Cultivated sponge;10. T6;G+EM_F-PB;G+EM;F-PB
e4048518460;GEM003;True sample;Gemmule;04. T0;G+EM;G+EM;NA
e4048518462;GEM027;True sample;Cultivated sponge;05. T1;G-EM_F-PB;G-EM;F-PB
e4048518463;GEM039;True sample;Cultivated sponge;05. T1;G-EM_F+PB;G-EM;F+PB
e4048518464;GEM051;True sample;Cultivated sponge;06. T2;G-EM_F-PB;G-EM;F-PB
e4048518465;GEM063;True sample;Cultivated sponge;06. T2;G-EM_F+PB;G-EM;F+PB
e4048518466;GEM075;True sample;Cultivated sponge;07. T3;G+EM_F+PB;G+EM;F+PB
e4048518467;GEM087;True sample;Cultivated sponge;08. T4;G+EM_F-PB;G+EM;F-PB
e4048518468;GEM099;True sample;Cultivated sponge;08. T4;G+EM_F+PB;G+EM;F+PB
e4048518469;GEM111;True sample;Cultivated sponge;09. T5;G+EM_F-PB;G+EM;F-PB
