;Kingdom;Phylum;Class;Order;Family;Genus
ASV_1;Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;NA;NA
ASV_2;Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;NA;NA
ASV_3;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
ASV_4;Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;NA;NA
ASV_5;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Leptothrix
ASV_6;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Terasakiellaceae;NA
ASV_7;Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;NA;NA
ASV_8;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingorhabdus
ASV_9;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
ASV_10;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
ASV_11;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Zoogloea
ASV_12;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;NA
ASV_13;Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;NA;NA
ASV_14;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Alteromonadaceae;Rheinheimera
ASV_15;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Sphaerotilus
ASV_16;Bacteria;Proteobacteria;Alphaproteobacteria;Elsterales;Elsteraceae;NA
ASV_17;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Sphaerotilus
ASV_18;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Defluviimonas
ASV_19;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
ASV_20;Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;NA;NA
ASV_21;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Tabrizicola
ASV_22;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Paucibacter
ASV_23;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga
ASV_24;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Alteromonadaceae;Rheinheimera
ASV_25;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;NA
ASV_26;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;Haliscomenobacter
ASV_27;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Ensifer
ASV_28;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Devosiaceae;Devosia
ASV_29;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Bosea
ASV_30;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Alteromonadaceae;Rheinheimera
ASV_31;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Methylophilaceae;Candidatus Methylopumilus
ASV_32;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas
ASV_33;Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;NA;NA
ASV_34;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
ASV_35;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;NA
ASV_36;Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;NA;NA
ASV_37;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
ASV_38;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Janthinobacterium
ASV_39;Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;NA;NA
ASV_40;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
ASV_41;Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Sporichthyaceae;NA
ASV_42;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pirellula
ASV_43;Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;NA;NA
ASV_44;Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;NA;NA
ASV_45;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;Hyphomonas
ASV_46;Bacteria;Verrucomicrobiota;Verrucomicrobiae;NA;NA;NA
ASV_47;Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Sporichthyaceae;hgcI clade
ASV_48;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas
ASV_49;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Ideonella
ASV_50;Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;NA;NA
ASV_51;Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;NA;NA
ASV_52;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax
ASV_53;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;NA
ASV_54;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Spirosomaceae;Runella
ASV_55;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter
ASV_56;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter
ASV_57;Bacteria;Proteobacteria;Gammaproteobacteria;Salinisphaerales;Solimonadaceae;Nevskia
ASV_58;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Alteromonadaceae;Rheinheimera
ASV_59;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Crocinitomicaceae;Fluviicola
ASV_60;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga
ASV_61;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
ASV_62;Bacteria;Proteobacteria;Gammaproteobacteria;NA;NA;NA
ASV_63;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Bosea
ASV_64;Bacteria;Myxococcota;Polyangia;Polyangiales;Sandaracinaceae;Sandaracinus
ASV_65;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Paucibacter
ASV_66;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
